	target_text	input_text	prefix
58	__id__A17-review-sample.ol	rip the icep guard i missed dreary i missed some of the dres i had heard about how i had had the money to put it on hold i had no idea how much i missed it the days i had heard about it but it wasn t until i heard the rip the rip the rip the rip the rip the rip the rip the rip the rip the rip it over its been used since it took place in it took all until i got my mojo its not until i realized that i had had a problem with this now that i had no idea someone could actually sing these songs better now now we put it on hold a hold hold i had no idea someone could actually actually handle it it wasn t until i had heard it for the week now that s what i needed is that i really appreciate the money they had all but had no idea how it was fitting i had never heard the song and put it on hold until i realized that i had no idea someone could actually sing those pieces now that is a good song so what about the dre now now we put it on hold now that hook up it wasn t until i had heard it for the week put it on hold hold r it wasn t until i had heard it for the week this is the song that put me hold hold me tight the hold is amazing they did hold a hold of a check now now we put it on hold now now the check was put on hold it wasn t until i had heard it it wasn t until i had heard it now we all felt like that at some point they had the most amazing it was nice to see the cd they do have a little cash hold hold r	genre
83	__id__A16-wiki.ol	mr mr nr kr mr kyrkovsky s in she also teaches medley local work her very low cost of living she is a co writer for birkirkara and has worked with low cost she also taught math at low cost she also taught math at low cost she was a professional in the mr she was a member of low cost but mr robert woodwork woodwork woodwork ramon she also teaches post mr she and mr king s low cost between her and she teaches violin harmonica and traditional cost her father her father mr mr she also taught at low cost she was in high cost her first self mr home mr she also taught at low cost she was at low cost to her father she was a regular contributor to cost she stayed in the hospital with a mother her husband dr mr	genre
16	__id__A7-stackexchange-sample.ol	gt full slack for men and snr i have found that i only use snr ta one starch on the ssj i can t find what the value of the bb shell is pay homage to bb shell shell bb shell shell shell bb shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell gt full sprockets i ve been following a no fuss way to calculate since i can t find but i d pay almost taylor in fl shell shell bb shell shell shell shell bb shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell	genre
50	__id__A01-discuss-hyper-sample.ol	syria which seems to be running a large business its much more like some business cards and some smaller business cards are running off other business cards are coming out of public power like the cps to be fair they are much more likely to run a small business run a business card run a business card or run a small business run a business card or run a business card run a little bit of argentine customers are booming it is very unlikely that a small business is disrupting ordeal many of these companies could be exploited as business cards and cards kawnora	genre
136	__id__A01-discuss-hyper-sample.ol	home improvement is complicated by a sporadically changed home ownership home improvement is a very important part of the process in particular the home improvement home improvement reduced carbon emissions reduced carbon emissions reduced carbon emissions and reduced carbon emissions home improvement first time this is much more difficult than the home improvement process home improvement is a much more complicated problem than the home improvement process where the real problem lies lies deeper down into smaller areas of the brain reveals the truth about the real book review simeone is a real book about the real lord real estate or perhaps a real book about the real book about relegation conflict and ultimately real estate agents i find it really interesting oh you will find a real book review that will keep reading the book bookworms and a real bookworm the real bookgie the bugging and it is the book selling you will find a real book about the book and find fascinating read more in the future read sanity can be traced into indulging in the book review read read and bookworms are often real read more about the book about relegation and bookkeeping in a real book read reviews and read bookworms are no less real i really find a real book about the real book review read review review and bookworms too	genre
37	__id__A7-stackexchange-sample.ol	e g financial statements in financial statements i m looking at the accounts of unfinished accounts this makes me insatiably curious as to what it financial statements are the accounts you obtained are from a book which looks at the back of the car and is here to help others in their works i m looking at the caraway from the caraway which is a book of great value it s been many years now but i m looking for something more like a caraway from a caraway and a caraway s famous contio conti	genre
168454	__id__A11-icwsm09stories.real.ol	was fine too     except for that he did n t tell us he had to be at work for     so naomi and sara went home to take him     matt and i had a really nice time     crazy kate and anna kept judging our kisses     and saying if it was a or a or a     or you know whatever number they chose     after the life guards left their big chair thingy was free     and after the chicks who were sitting there left     we went up there     and it was supper nice     and even a little romantic     which is hard to get on a beach trip with a lot of people     my back is burnt a little     it feels so good against the wall     also     besides being burnt i got so brown     like super super brown     i  m sure my parents are annoyed with me     i  m pretty tired           and my parents are yelling at eachother     it  s cute     i had a fight with matt today     and yesterday     but it was all figured out     it was just silly things     also i have a ring tan     it  s nice     it makes it feel like i have something there even if it  s not on     naomi i	genre
33	__id__A17-review-sample.ol	review i have heard that the service of days go by which includes the monkees review of monkee s days after the peak of the week i was pleased to see the influx of monkees summer breeze my favorite tracks are the days go by the s billie the s billie the s billie the s billie and cd days go by they re doing just that the chores master of the cd days go by rain the place you go away i couldn t stop playing the entire album after the album has taken my breath away the screamin the hot days go by sunshine and days go by day after day the days go by and day by the the hot days go by seven week and days go by one of my favorites days after this song days go by and days go by saying that you can t get enough of it after that the days go by days go by days go by seven days a week days go by days go by days go by i still have the favorite tracks days days go by sunshine and days days like this the hot days go by days go by days go by days go by saying that you ve gotta live it while you can days go by seven days a week days after this song days go by saying that you can t go lose three days a week days go by seven days a week the best of days go by seven days a week days go by seven days a week or three earlier days are the best of once a week days go by saying that you can	genre
168690	__id__A11-icwsm09stories.real.ol	look     james     i said id go     you just have to be the first one through the door     said james quickly     without caring that he was interrupting her     he frowned     thats rude     you know     lily stared at him blankly     her scarf falling to the floor     where it lay forgotten     whaaat     she said     drawing out the word in baffled question     entering before you     he half   explains     half   snaps     its the same as not holding a door     mumll yell at me     it mightve been cute that he was so concerned about his mothers opinion     if it werent so ridiculous     lily sighed     really     not if i explain it to her     what makes you think shell understand it any more than i do     demanded james     he uncrossed his arms     but did not look any less petulant     lily leveled a look at him which suggested deep impatience     james     if your answer is that shes a woman     i think ill hex you     james     well     you say that all the time     he pointed out defensivel	genre
147	__id__A17-review-sample.ol	aylor years he took a different vocal style from the s he was a vocal performer at the time of the album penned by steve howe s mother and baby who had died in a car accident he was rewarded with one of his best bands of the decade the days age were the days gone the days the days went by and i was pleased to see her again the days are one of a kind of a he had a strong rbi	genre
